Staiton.Number,Year,Month,Day,Hour,Rs,RH,Temp,uz
58362,2016,9,9,8,17.51616,65.575,30.95341667,1
58362,2016,9,9,9,14.98752,59.20833333,30.85033333,1
58362,2016,9,9,10,22.0428,56.49166667,31.42933333,1
58362,2016,9,9,11,37.4616,48.175,34.85758333,1
58362,2016,9,9,12,46.51416,44.10833333,37.02525,1
58362,2016,9,9,13,28.2528,39.66666667,37.45783333,1
58362,2016,9,9,14,23.57352,42.96666667,35.56366667,1
58362,2016,9,9,15,15.37344,46.49166667,33.34208333,1
58362,2016,9,9,16,7.43616,48.23333333,32.45225,1
58362,2016,9,9,17,2.52216,51.51666667,29.93066667,1
58362,2016,9,9,18,0,58.79166667,27.09858333,1
58362,2016,9,9,19,0,65.00833333,26.15191667,1
58362,2016,9,9,20,0,61.075,26.21691667,1
58362,2016,9,9,21,0,62.9,25.953,1
58362,2016,9,9,22,0,67.91666667,25.562,1
58362,2016,9,9,23,0,72.06666667,25.19808333,1
58362,2016,9,9,0,0,76.525,24.33733333,1
58362,2016,9,9,1,0,78.86666667,24.10841667,1
58362,2016,9,9,2,0,82.70833333,23.84925,1
58362,2016,9,9,3,0,86.5,23.99783333,1
58362,2016,9,9,4,0,90.88333333,23.80308333,1
58362,2016,9,9,5,0.13608,91.16666667,23.99991667,1
58362,2016,9,9,6,1.71144,89.96666667,24.61108333,1
58362,2016,9,9,7,5.23224,84.7,26.3875,1
58362,2016,9,10,8,4.68288,81.66666667,26.91383333,1
58362,2016,9,10,9,11.68488,75.58333333,28.93333333,1
58362,2016,9,10,10,15.53616,64.98333333,30.97308333,1
58362,2016,9,10,11,11.37744,62.225,30.652,1
58362,2016,9,10,12,11.46816,60.70833333,31.07816667,1
58362,2016,9,10,13,8.70624,64.35,29.97941667,1
58362,2016,9,10,14,7.49016,68.85,29.33991667,1
58362,2016,9,10,15,6.59016,69.11666667,29.67325,1
58362,2016,9,10,16,3.6648,67.99166667,29.25875,1
58362,2016,9,10,17,1.28952,71.575,28.257,1
58362,2016,9,10,18,0.02736,74.71666667,27.1365,1
58362,2016,9,10,19,0,71.36666667,26.71358333,1
58362,2016,9,10,20,0,73.35,25.76291667,1
58362,2016,9,10,21,0,80.33333333,24.80441667,1
58362,2016,9,10,22,0,84.85,24.64516667,1
58362,2016,9,10,23,0,87.79166667,24.14841667,1
58362,2016,9,10,0,0,89.05,24.243,1
58362,2016,9,10,1,0,90.56666667,24.299,1
58362,2016,9,10,2,0,91.65,24.33716667,1
58362,2016,9,10,3,0,92.25833333,24.25916667,1
58362,2016,9,10,4,0,93.075,24.15841667,1
58362,2016,9,10,5,0.018,93.50833333,24.17666667,1
58362,2016,9,10,6,1.0476,93.36666667,24.63525,1
58362,2016,9,10,7,3.3588,91.25833333,25.6715,1
58362,2016,9,11,8,5.40216,84.54166667,26.81808333,1
58362,2016,9,11,9,7.2648,75.85,27.35008333,1
58362,2016,9,11,10,6.57288,76.75,26.72275,1
58362,2016,9,11,11,6.16752,74.19166667,26.26833333,1
58362,2016,9,11,12,7.11216,77.19166667,26.24391667,1
58362,2016,9,11,13,4.9536,72.95833333,25.99933333,1
58362,2016,9,11,14,2.77416,79.50833333,25.03875,1
58362,2016,9,11,15,2.1708,85.15833333,24.39808333,1
58362,2016,9,11,16,1.52352,89.08333333,23.41825,1
58362,2016,9,11,17,0.144,91.25,22.80841667,1
58362,2016,9,11,18,0,92.89166667,21.89116667,1
58362,2016,9,11,19,0,94.44166667,21.56275,1
58362,2016,9,11,20,0,94.975,21.57666667,1
58362,2016,9,11,21,0,95.325,21.74391667,1
58362,2016,9,11,22,0,95.4,21.91308333,1
58362,2016,9,11,23,0,95.25833333,21.64808333,1
58362,2016,9,11,0,0,95.025,21.47116667,1
58362,2016,9,11,1,0,94.93333333,21.0775,1
58362,2016,9,11,2,0,95.69166667,20.61675,1
58362,2016,9,11,3,0,95.99166667,20.34675,1
58362,2016,9,11,4,0,96.45,20.053,1
58362,2016,9,11,5,0.05472,97.01666667,19.88441667,1
58362,2016,9,11,6,3.8196,96.525,21.05275,1
58362,2016,9,11,7,13.9788,86.73333333,25.02241667,1
58362,2016,9,12,8,14.30136,76.13333333,27.73225,1
58362,2016,9,12,9,24.17688,65.525,29.87683333,1
58362,2016,9,12,10,20.66544,65.34166667,29.45658333,1
58362,2016,9,12,11,37.08144,62.14166667,31.79575,1
58362,2016,9,12,12,37.94616,58.09166667,31.95475,1
58362,2016,9,12,13,19.48824,57.45,31.94358333,1
58362,2016,9,12,14,22.5288,56.15,31.92675,1
58362,2016,9,12,15,12.9168,59.725,30.36725,1
58362,2016,9,12,16,5.48208,63.74166667,29.3795,1
58362,2016,9,12,17,1.99008,68.98333333,27.80391667,1
58362,2016,9,12,18,0,72.3,26.47141667,1
58362,2016,9,12,19,0,78.80833333,25.50716667,1
58362,2016,9,12,20,0,82.88333333,24.90325,1
58362,2016,9,12,21,0,85.9,24.26508333,1
58362,2016,9,12,22,0,89.25833333,23.41641667,1
58362,2016,9,12,23,0,89.1,23.316,1
58362,2016,9,12,0,0,91.05,22.63275,1
58362,2016,9,12,1,0,91.5,22.17,1
58362,2016,9,12,2,0,92.88333333,21.86108333,1
58362,2016,9,12,3,0,92.73333333,21.69225,1
58362,2016,9,12,4,0,94.525,21.25041667,1
58362,2016,9,12,5,0.11736,94.95,21.64825,1
58362,2016,9,12,6,3.9348,93.525,23.01558333,1
58362,2016,9,12,7,12.47616,87.19166667,25.66966667,1
58362,2016,9,13,8,15.26616,75.15833333,27.68366667,1
58362,2016,9,13,9,24.39288,65.14166667,29.72633333,1
58362,2016,9,13,10,28.9548,61.55833333,30.38475,1
58362,2016,9,13,11,24.34824,60.75,30.78458333,1
58362,2016,9,13,12,31.95288,56.225,31.46458333,1
58362,2016,9,13,13,19.3068,57.525,30.74883333,1
58362,2016,9,13,14,14.8608,59.90833333,29.74666667,1
58362,2016,9,13,15,8.38944,62,28.861,1
58362,2016,9,13,16,4.10616,62.85,28.18383333,1
58362,2016,9,13,17,2.84544,68.19166667,27.36808333,1
58362,2016,9,13,18,0.03672,74.00833333,26.25375,1
58362,2016,9,13,19,0,77.375,25.45883333,1
58362,2016,9,13,20,0,78.275,25.25858333,1
58362,2016,9,13,21,0,80.69166667,24.88133333,1
58362,2016,9,13,22,0,82.34166667,24.79441667,1
58362,2016,9,13,23,0,83.41666667,24.94941667,1
58362,2016,9,13,0,0,84.75,24.90516667,1
58362,2016,9,13,1,0,89.50833333,24.33941667,1
58362,2016,9,13,2,0,91.475,24.24475,1
58362,2016,9,13,3,0,92.575,24.23075,1
58362,2016,9,13,4,0,94.23333333,24.06225,1
58362,2016,9,13,5,0,94.85,23.974,1
58362,2016,9,13,6,0.10944,95.21666667,23.98391667,1
58362,2016,9,13,7,0.30816,95.60833333,23.76925,1
58362,2016,9,14,8,2.0268,94.83333333,23.16,1
58362,2016,9,14,9,3.6216,91.05833333,23.8715,1
58362,2016,9,14,10,4.0068,91.25833333,23.49466667,1
58362,2016,9,14,11,5.68944,90.95,23.83525,1
58362,2016,9,14,12,7.25544,84.2,23.72316667,1
58362,2016,9,14,13,5.2668,85.16666667,22.99008333,1
58362,2016,9,14,14,6.7428,84.75,23.76716667,1
58362,2016,9,14,15,3.18672,87.43333333,22.48741667,1
58362,2016,9,14,16,1.6128,89.575,22.0585,1
58362,2016,9,14,17,0.32616,90.50833333,22.06841667,1
58362,2016,9,14,18,0.00936,92.85,21.8175,1
58362,2016,9,14,19,0,93.80833333,22.22991667,1
58362,2016,9,14,20,0,95.31666667,22.17383333,1
58362,2016,9,14,21,0,95.79166667,22.34541667,1
58362,2016,9,14,22,0,96.55833333,22.555,1
58362,2016,9,14,23,0,97.625,22.35316667,1
58362,2016,9,14,0,0,96.84166667,22.144,1
58362,2016,9,14,1,0,96.38333333,22.246,1
58362,2016,9,14,2,0,96.50833333,22.425,1
58362,2016,9,14,3,0,96.75833333,22.77058333,1
58362,2016,9,14,4,0,97.75833333,23.074,1
58362,2016,9,14,5,0,98.18333333,23.352,1
58362,2016,9,14,6,0.1548,98.125,23.561,1
58362,2016,9,14,7,2.73816,98.13333333,23.90583333,1
58362,2016,9,15,8,9.1008,95.15833333,25.76358333,1
58362,2016,9,15,9,10.24344,90.94166667,27.2965,1
58362,2016,9,15,10,8.29152,90.525,26.90791667,1
58362,2016,9,15,11,7.3728,91.3,27.16775,1
58362,2016,9,15,12,6.48144,90.10833333,27.25975,1
58362,2016,9,15,13,3.67344,93.85,26.01216667,1
58362,2016,9,15,14,4.00752,94.46666667,25.85558333,1
58362,2016,9,15,15,1.79352,95.075,25.49316667,1
58362,2016,9,15,16,0.92952,96.09166667,24.877,1
58362,2016,9,15,17,0.16416,96.70833333,24.49025,1
58362,2016,9,15,18,0,97.475,24.297,1
58362,2016,9,15,19,0,98.33333333,24.08225,1
58362,2016,9,15,20,0,98.41666667,24.10416667,1
58362,2016,9,15,21,0,98.66666667,23.95983333,1
58362,2016,9,15,22,0,98.49166667,23.5765,1
58362,2016,9,15,23,0,98.14166667,23.60691667,1
58362,2016,9,15,0,0,97.76666667,23.446,1
58362,2016,9,15,1,0,98.3,23.31616667,1
58362,2016,9,15,2,0,96.65,22.96816667,1
58362,2016,9,15,3,0,97.95833333,22.90433333,1
58362,2016,9,15,4,0,98.45,23.22,1
58362,2016,9,15,5,0,99.09166667,23.43825,1
58362,2016,9,15,6,0.5508,99.175,23.633,1
58362,2016,9,15,7,1.6488,98.70833333,23.97766667,1
58362,2016,9,16,8,3.87144,98.15833333,24.6075,1
58362,2016,9,16,9,7.76952,95.275,26.27666667,1
58362,2016,9,16,10,6.87744,93.675,26.67325,1
58362,2016,9,16,11,7.30224,91.5,27.41091667,1
58362,2016,9,16,12,7.85088,93.51666667,27.30016667,1
58362,2016,9,16,13,12.71088,91.96666667,28.29358333,1
58362,2016,9,16,14,12.8628,87.46666667,29.30466667,1
58362,2016,9,16,15,10.5768,83.94166667,29.67791667,1
58362,2016,9,16,16,6.36552,85.3,29.05958333,1
58362,2016,9,16,17,0.64152,89.575,27.90825,1
58362,2016,9,16,18,0,89.90833333,26.88141667,1
58362,2016,9,16,19,0,89.55,25.62908333,1
58362,2016,9,16,20,0,92.50833333,24.865,1
58362,2016,9,16,21,0,92.7,24.35341667,1
58362,2016,9,16,22,0,93.00833333,24.06816667,1
58362,2016,9,16,23,0,93.86666667,23.93375,1
58362,2016,9,16,0,0,94.39166667,23.761,1
58362,2016,9,16,1,0,93.66666667,23.691,1
58362,2016,9,16,2,0,94.81666667,23.24408333,1
